1girl,1个女孩
rabbit boy,兔子男孩
riyo (lyomsnpmp),riyo (lyomsnpmp)
saddle,鞍
tenchi muyou!,天地无忧！
valkyrie,女武神
cleveland (azur lane),克利夫兰（碧蓝航线）
fur cape,毛皮斗篷
star platinum,星铂
sugiura ayano,杉浦绫野
aviator sunglasses,飞行员太阳镜
bird legs,鸟腿
blowing,吹
kamogawa tanuki,鸭川狸
recorder,录音机
tantei opera milky holmes,侦探歌剧 乳白色的福尔摩斯
waiter,服务员
dennou coil,电炉线圈
elf (stroll in the woods),小精灵（在树林里漫步）
holding pizza,拿着比萨
lion boy,狮子男孩
lyria (granblue fantasy),lyria（碧蓝幻想）
mother 2,妈妈 2
type 95 (girls' frontline),95式（少女前线）
concert,音乐会
flaming weapon,燃烧的武器
ino (magloid),ino (magloid)
majo no takkyuubin,majo no takkyuubin
mukai takumi,向井匠
nibutani shinka,二风谷神化
coconut,椰子
destiny child,命运之子
notched ear,有缺口的耳朵
owl ears,猫头鹰耳朵
polka dot skirt,波点半身裙
scottie (phantom2),斯科蒂（幻影2）
torinone,托力农
urin,尿
vaporeon,汽艇
america,美国
arms (game),武器（游戏）
credits,学分
final fight,最后的战斗
kusaka souji,草坂总司
scar on neck,脖子上的疤痕
vira (granblue fantasy),维拉（碧蓝幻想）
bernadetta von varley,伯纳黛塔·冯·瓦利
black corset,黑色紧身胸衣
hikawa shou,冰川手
hishaku,菱角
komaku juushoku,小幕十食
oimanji,爱曼吉
public use,公共使用
brown hoodie,棕色连帽衫
dress removed,脱掉衣服
mash kyrielight (dangerous beast) (cosplay),mash kyrielight（危险的野兽）（角色扮演）
nyarlathotep (nyaruko-san),nyarlathotep (nyaruko-san)
personal ami,个人朋友
sengoku basara,战国basara
sig sauer,西格绍尔
source image text,源图像文本
spooning,舀
tenken (gotannda),天肯 (gotannda)
umigarasu (kitsune1963),umigarasu (kitsune1963)
yellow butterfly,黄色蝴蝶
cable knit,绞花针织
convenience store,便利店
ikari manatsu,碇真夏
kenkou cross,肯口十字
kouhaku nawa,光白菜
metal slug,合金弹头
mioda ibuki,mioda ibuki
graf zeppelin (azur lane),格拉夫齐柏林飞艇（蔚蓝航线）
manga cover,漫画封面
plaid bra,格子胸罩
qqqrinkappp,qqqrinkappp
tail feathers,尾羽
catholic,天主教
checkered obi,方格的腰带
hataraku maou-sama!,幡乐真王大人！
konbu wakame,昆布裙带菜
nenohi (kancolle),nenohi (kancolle)
themed object,主题对象
tenkyuu chimata,天急知又
airship,飞艇
celestia ludenberg,天体路登堡
fusu (a95101221),扶苏 (a95101221)
hologram,全息图
jetto komusou,喷气机
kasaki nozomi,笠木希
line (naver),线（naver）
mitsudomoe,光友
pinwheel,风车
araki hirohiko (style),荒木弘彦（风格）
st. chronica academy uniform,英石。 Chronica 学院制服
<o>_<o>,<o>_<o>
bass clef,低音谱号
camouflage pants,迷彩裤
claude von riegan,克劳德·冯·里根
crystal earrings,水晶耳环
heads-up display,抬头显示器
loose shirt,宽松衬衫
serebi ryousangata,仆人 ryousangata
drinking straw in mouth,吸管在嘴里
kohinata miho,小日向美穗
meyoco,美约科
objectification,客观化
polka dot scrunchie,圆点发圈
sakurajima mai,樱岛舞
side drill,侧钻
yamagumo (kancolle),山云 (kancolle)
baggy clothes,松松垮垮的衣服
chiyoda (kancolle),千代田 (kancolle)
coke-bottle glasses,可乐瓶眼镜
grey theme,灰色主题
marie rose,玛丽玫瑰
miyamoto musashi (swimsuit berserker) (second ascension) (fate),宫本武藏（泳装狂战士）（第二次升天）（命运）
nursing handjob,护理 打手枪
okumura haru,大村春
purple belt,紫腰带
sakura chiyo,樱花千代
side slit shorts,侧开衩短裤
space helmet,太空头盔
yellow bag,黄色包
aino megumi,爱野惠
bullet hole,子弹孔
crotch cutout,胯部镂空
kamelie,卡梅利
linear hatching,线性影线
playing,玩
ro635 (girls' frontline),ro635（少女前线）
chibi miku,赤壁未来
hatsuharu (kancolle),初春 (kancolle)
holding vegetable,拿着蔬菜
melon bread,甜瓜面包
nakano ichika,中野一香
nia (blade) (xenoblade),nia（刀片）（异种刀片）
ultra ball,超球
ushiromiya jessica,饭宫杰西卡
check character,检查字符
double w,双w
jeweled branch of hourai,宝来宝枝
nadia la arwall,娜迪亚拉阿沃尔
strapless swimsuit,抹胸泳衣
annie leonhardt,安妮莱昂哈特
double \m/,双 \\m/
fairy knight gawain (fate),妖精骑士高文（命运）
green wings,绿色的翅膀
lei lei,雷雷
maplestory,枫树故事
minato hitori,凑人
tenjouin asuka,天上院飞鸟
x3,x3
anna (frozen),安娜（冷冻）
force of will,意志力
hole,洞
little nuns (diva),小修女（女主角）
shinama,品玉
xiangling (genshin impact),xiangling (genshin impact)
adapted uniform,适应制服
bear costume,熊装
cure sunny,治愈晴天
donguri suzume,东里铃目
food stand,小吃摊;路边摊
hatoba tsugu,鸠羽津继
monster musume no iru nichijou online,Monster musume no iru nichijou online
pendant choker,吊坠项链
prison clothes,监狱服
traffic cone,交通拥挤
tsugu (vtuber),tsugu (vtuber)
orange sweater,橙色毛衣
washing machine,洗衣机
yellow belt,黄带
yellow coat,黄色外套
aozaki aoko,青崎青子
red eyeliner,红色眼线笔
adidas,阿迪达斯
black umbrella,黑伞
brown apron,棕色围裙
double dildo,双假阳具
dress flower,礼服花
furudo erika,古藤绘里香
hikawa sayo,冰川小夜
ifrit (arknights),ifrit（方舟之夜）
kase daiki,加濑大机
momio,妈妈
momoe nagisa,渚百惠
napkin,餐巾
pickaxe,镐
queen's blade rebellion,女王之刃叛乱
virgin killer outfit,处女杀手装
white bag,白色袋子
wringing clothes,拧衣服
yagen toushirou,矢根藤四郎
blood on knife,刀上有血
easter egg,复活节彩蛋
jinguu (4839ms),金谷 (4839ms)
mahjong tile,麻将牌
miyanaga saki,宫永咲
multiple piercings,多个穿孔
pastel colors,柔和的颜色
puff and slash sleeves,泡泡袖
round-bottom flask,圆底烧瓶
sasaki saku,佐佐木作
adventure time,冒险时间
cu chulainn (caster) (fate),cu chulainn（施法者）（命运）
dante (devil may cry),但丁（鬼泣）
goodsmile racing,商品微笑赛车
ogata chieri,绪方千里
pink camisole,粉色吊带背心
sleeveless coat,无袖大衣
alisa (girls und panzer),艾丽莎（少女与装甲）
inverted cross,倒十字
laura bodewig,劳拉·博德维希
cross choker,交叉项圈
diva (hyxpk),女主角（hyxpk）
jeno,耶诺
miyu (blue archive),miyu（蓝色档案）
striped headwear,条纹头饰
yuuki (princess connect!),yuuki（公主连接！）
cursive,草书
genshiken,源氏拳
shizuka rin,静香凛
aika (series),艾卡（系列）
ayane (doa),绫音（doa）
dirty feet,脏脚
hiyou (kancolle),你好 (kancolle)
maizono sayaka,舞园早香
steven stone,史蒂文斯通
wa lolita,瓦洛丽塔
clothes between breasts,两胸之间的衣服
cutting hair,剪头发
mega man (character),洛克人（人物）
pouring onto self,倾注在自己身上
tsab ground military uniform,tsab地面军装
cecilia alcott,塞西莉亚·奥尔科特
garnet til alexandros xvii,石榴石直到亚历山德罗斯十七世
hands on own stomach,双手放在自己的肚子上
kasumigaoka utaha,霞丘谣
magical ruby,神奇的红宝石
twin turbo (umamusume),双涡轮增压（umamusume）
visor (armor),护目镜（盔甲）
accel world,加速世界
aki (girls und panzer),aki（少女与装甲）
art nouveau,新艺术运动
checkered flag,方格旗
cure white,治愈白
fate/requiem,命运/安魂曲
hand on own neck,手放在自己的脖子上
kimono lift,和服电梯
maou (maoyuu),猫王
murata range,村田范围
painterly,绘画的
roy (fire emblem),罗伊（火徽）
silent hill (series),寂静岭（系列）
sparrow,麻雀
sugimura tomokazu,杉村友和
undressing another,脱衣服另一个
cardigan vest,开衫背心
kanbaru suruga,神原骏河
kanojo okarishimasu,Kanojo okarishimasu
lux (league of legends),勒克斯（英雄联盟）
net,网
yt (wai-tei),yt (wai-te)
moona hoshinova,月亮星星诺娃
two-tone headwear,两色头饰
yume no owari,梦之尾张
alastor (shakugan no shana),alastor (shakugan no shana)
blew andwhite,吹白
crazy,疯狂的
goh (pokemon),咕（口袋妖怪）
grave,墓穴
lace gloves,蕾丝手套
lighthouse,灯塔
son gohan,孙悟饭
ten'ou haruka,天王遥
lucy heartfilia,露西心肠
yama no susume,山之未央
yumehara nozomi,梦原希
ano natsu de matteru,阿诺夏德马蒂乌
arachne,蛛网膜
deadnooodles,死面条
denpa onna to seishun otoko,电波恩娜到男声青春
duster,除尘器
hacka doll,哈卡娃娃
kishida mel,岸田梅尔
arare (kancolle),阿拉雷 (kancolle)
breast poke,戳胸
futasub,futasub
hayasaka ai,早坂爱
kotoyoro,琴寄
maka albarn,马卡阿尔巴恩
multicolored kimono,五彩和服
nagato (azur lane),长门（碧蓝航线）
nudist,裸体主义者
p90,p90
shiroko (swimsuit) (blue archive),shiroko (泳装) (蓝色档案)
sleep mask,睡眠面膜
tsukihime (remake),月姬（翻拍）
bradamante (fate),布拉达曼特（命运）
enty reward,实体奖励
hat with ears,带耳朵的帽子
jingei (kancolle),精艺（kancolle）
komeshiro kasu,米城香须
komusou (jinrikisha),komusou (jinrikisha)
lamb-oic029,羔羊-oic029
owari no seraph,奥瓦里没有六翼天使
panty lift,连裤袜
training corps (emblem),训练团（徽章）
golf club,高尔夫俱乐部
hizuki yayoi,日月弥生
inoue orihime,井上织姬
lambda (kusowarota),拉姆达 (kusowarota)
lenna charlotte tycoon,伦娜夏洛特大亨
madou monogatari,麻豆物语
vibrator cord,振动绳
\n/,\\n/
acoustic guitar,原声吉他
apron lift,围裙升降机
baton (conducting),指挥棒（指挥）
broken heart,心碎
brown sweater vest,棕色毛衣背心
fate/grand order arcade,命运/大订单街机
gaou (umaiyo puyoman),高欧（普约曼）
green bag,绿袋
looking through legs,通过腿看
nekomusume (gegege no kitarou 6),nekomusume (gegege no kitarou 6)
romaji commentary,罗马字评论
sakuragi mano,樱木真野
satin panties,缎面内裤
tanikaze (kancolle),tanikaze (kancolle)
tsurezure children,tsurezure 儿童
cropped arms,短臂
heart lock (kantai collection),心锁（kantai合集）
holding breath,屏住呼吸
ishii hisao,石井久雄
nonomi (blue archive),nonomi（蓝色档案）
platinum (arknights),铂金（方舟）
unusually open eyes,异常睁眼
yuzuhara konomi,柚原小美
bianca (dq5),比安卡 (dq5)
pravda military uniform,真理报军装
yamato nadeshiko,大和抚子
yukataro,浴太郎
allister (pokemon),阿利斯特（口袋妖怪）
alternate wings,交替的翅膀
cerberus (helltaker),地狱犬（地狱猎手）
ibuki notsu,伊吹野津
kusanagi tonbo,草薙洞坊
lillian girls' academy uniform,莉莲女子学院制服
masochism,受虐狂
naked tabard,裸战袍
satou daiji,佐藤大师
zabaniyya (housamo),扎巴尼亚（豪萨莫）
alice zuberg,爱丽丝·祖伯格
cracked wall,裂墙
cropped hoodie,短款连帽衫
exhausted,筋疲力尽的
hinghoi,兴霍伊
lack,缺少
mikazuki (kancolle),三日月 (kancolle)
reinforce zwei,加强zwei
bralines,布雷林
ceobe (arknights),ceobe（方舟之夜）
green capelet,绿色披肩
jin kisaragi,如月真
rakuen tsuihou,乐园追保
screentones,屏幕音
xp-tan,xp-tan
chalice,圣杯
grill,炙烤
hilichurl (genshin impact),hilichurl（原神影响）
inumuta houka,犬田报花
pine tree,松树
shimazu yoshino,岛津吉野
ucmm,ucmm
cetacean tail,鲸鱼尾巴
denji (chainsaw man),电锯人（电锯人）
hidden face,隐藏的脸
konnyaku (kk-monmon),魔芋（kk-monmon）
monster energy,怪兽能量
racing miku,赛车未来
tassel hair ornament,流苏发饰
cum on legs,精液（射）在腿上
jirou kyouka,镜花次郎
mtu (orewamuzituda),mtu (orewamuzituda)
nt00,nt00
romper,连身衣
takoluka,塔科卢卡
tsurumaki kokoro,鹤卷心
wheelbarrow,独轮车
jouga maya,茹加玛雅
kou mashiro,幸真城
matsuwa (kancolle),松和 (kancolle)
omori,大森
project moon,月球计划
rider belt,骑手腰带
snap-fit buckle,搭扣
storefront,店面
tentacles on male,男性触手
witch (madoka magica),女巫（魔法小圆）
akashi (azur lane),明石（碧蓝航线）
aki99,秋99
breast padding,乳房填充物
chi-hatan military uniform,奇哈坦军装
dragon quest viii,勇者斗恶龙八
hand on another's neck,手搭在别人的脖子上
niwarhythm,节拍
shirabe ako,白部赤子
sperm cell,精子细胞
star pasties,明星馅饼
tire,胎
eva 02,伊娃02
gymnastics,体操
himejima akeno,姬岛明野
holding saucer,拿着碟子
inu x boku ss,inu x boku ss
kirishima touka,雾岛透香
miyako (hidamari sketch),宫古（hidamari草图）
nanao yuriko,七尾百合子
redrawn,重绘
color trace,颜色痕迹
ke-ta,可塔
kichihachi,吉八
magukappu,玛格卡普
pramanix (arknights),pramanix（方舟之夜）
shoulder holster,肩套
sirius (azure horizons) (azur lane),天狼星 (Azure Horizons) (Azure Lane)
vspo!,VSPO！
windowsill,窗台
chikorita,有用
dimitri alexandre blaiddyd,迪米特里·亚历山大·布莱迪德
faris scherwiz,法里斯·舍维兹
green pantyhose,绿色连裤袜
ichiba youichi,一叶阳一
kondou taeko,近藤妙子
lambdadelta,λdelta
osaki tenka,大崎天下
penis in panties,内裤里的阴茎
penis peek,阴茎窥视
squinting,眯着眼睛
taihou (enraptured companion) (azur lane),太后（欣喜若狂的同伴）（碧蓝航线）
anchor necklace,锚项链
angela balzac,安吉拉·巴尔扎克
blue bag,蓝色袋子
brown nails,棕色指甲
moneti (daifuku),钱（大福）
rosario+vampire,罗萨里奥+吸血鬼
skirt flip,裙子翻转
trunks (dragon ball),树干（龙珠）
urethral insertion,尿道插入
crime prevention buzzer,预防犯罪蜂鸣器
dragging,拖动
dressing another,换衣服
facing to the side,面向侧面
glowing hair,发光的头发
kisaragi shintarou,如月信太郎
lyrics,歌词
mashiro miru,真城米鲁
mogudan,蘑菇蛋
polar bear,北极熊
priest (ragnarok online),牧师（仙境传说在线）
revy (black lagoon),revy（黑泻湖）
strike witches: kurenai no majo-tachi,打击女巫：红内魔城太极
struggling,挣扎
cygames,游戏
hayashiya zankurou,林屋三九郎
matsumoto rangiku,松本乱菊
photo inset,照片插图
pokemon rse (anime),宠物小精灵 rse (动漫)
tetsu (kimuchi),彻（kimuchi）
amplifier,放大器
brown bra,棕色胸罩
circle skirt,圆裙
garchomp,吃货
iroha (samurai spirits),iroha（武士精神）
jack dempa,杰克登帕
kazano hiori,风野堀
riyo (lyomsnpmp) (style),riyo (lyomsnpmp) (风格)
robaato,罗巴托
spaghetti,意大利面
yokoyama nao,横山直
group picture,集体照
hair cubes,发块
hand under shirt,手放在衬衫下面
kloah,克洛阿
mechanical eye,机械眼
murata himeko,村田姬子
samuel b. roberts (kancolle),塞缪尔湾罗伯特（坎科尔）
suou momoko,你好桃子
sutahiro (donta),须太郎 (donta)
zero (mega man),零（巨人）
cosmic break,宇宙断裂
how to,如何
pendant watch,吊坠手表
armpit cutout,腋下切口
heel up,跟上
imperial japanese army,日军
lm (legoman),lm（乐高人）
monomi (danganronpa),monomi (danganronpa)
moomin,姆明
teen titans,少年泰坦
yamada elf,山田精灵
yellow (pokemon),黄色（口袋妖怪）
mataro (matarou),麻太郎
orange hoodie,橙色连帽衫
suigetsu,水月
vibrator on nipple,乳头上的振动器
anchor choker,锚项圈
anegasaki nene,长崎奶奶
aqua gloves,水手套
lord el-melloi ii,埃尔梅洛伊二世
mole on stomach,肚子上有痣
multiple legs,多条腿
rainbow mika,彩虹米卡
undead,亡灵
watanabe akio,渡边昭夫
akagashi hagane,赤城羽根
corrin (fire emblem) (male),corrin (火徽) (男)
jaguar tail,捷豹尾巴
pokemon tcg,宠物小精灵 tcg
surcoat,外套
y.ssanoha,y.ssanoha
asahina mirai,朝比奈未来
mamuru,马穆鲁
maria cadenzavna eve,玛丽亚华彩前夜
mikagami hiyori,三神日和
pectoral press,胸压
ao no exorcist,ao没有驱魔人
blaze (arknights),烈焰人（方舟）
catchphrase,口号
diego brando,迭戈·白兰度
glowing butterfly,发光的蝴蝶
miuku (marine sapphire),miuku（海蓝宝石）
mumei (kabaneri),mumei (kabaneri)
nardack,纳达克
neo politan,新都市
pink ascot,粉红色的阿斯科特
tail ring,尾环
thermos,热水瓶
uta no prince-sama,歌之王子大人
kiss-shot acerola-orion heart-under-blade,吻射针叶樱桃猎户座刀下心脏
lattice,格子
len'en,伦恩
mohammed avdol,穆罕默德·阿夫多尔
umekichi,梅吉
yellow sleeves,黄色袖子
caffein,咖啡因
canopy bed,天篷床
harada takehito,原田健人
kazama asuka,风间飞鸟
ookami (game),大神（游戏）
rimuru tempest,利姆鲁暴风雨
shin sangoku musou,新三国无双
zara (poolside coincidence) (azur lane),zara (池畔巧合) (azur Lane)
brown bear (kemono friends),棕熊（kemono 朋友）
choujikuu yousai macross,超人空游赛超时空要塞
dota (series),刀塔（系列）
furukawa (yomawari),古川
german flag bikini,德国国旗比基尼
gills,鳃
karaoke,卡拉OK
parsley-f,欧芹-f
prinny,漂亮的
seiun sky (umamusume),seiun sky (umamusume)
string bra,细带胸罩
teana lanster,天竺葵
araragi tsukihi,araragi 月飞
arms around waist,双手抱腰
bath stool,浴凳
black garter belt,黑色吊袜带
ehoumaki,江穗卷
fake nails,假指甲
jeanne d'arc alter (avenger) (third ascension) (fate),jeanne d'arc alter (avenger) (third ascension) (fate)
merunyaa,梅鲁尼亚
no blindfold,没有眼罩
psychic,精神
rolling suitcase,滚动手提箱
tube dress,抹胸连衣裙
baka to test to shoukanjuu,baka 测试 shoukanjuu
cosmog,宇宙
eyepatch removed,取下眼罩
gold bikini,金色比基尼
multicolored scarf,五彩围巾
oversized food,超大的食物
sakawa (kancolle),佐川（kancolle）
yamagishi fuuka,山岸风香
hands on hilt,手放在刀柄上
ojou-sama pose,大小姐姿势
pit (kid icarus),坑（孩子伊卡洛斯）
sciamano240,夏马诺240
unamused,不开心
92m,92m
cure moonlight,治愈月光
ganguro,刚古罗
group name,团队名字
leafeon,叶子
season connection,季节联系
sling,吊索
unowen,不为人知
yellow raincoat,黄色的雨衣
yuuji (yukimimi),雄二 (yukimimi)
d.gray-man,d.gray-man
elphelt valentine,情人节
inline skates,直排轮滑鞋
justice (helltaker),正义（地狱猎手）
mamaloni,马马洛尼
no eyepatch,没有眼罩
stained panties,染色的内裤
aozora market,青空市场
character signature,字符签名
club3,俱乐部3
coat removed,脱掉外套
fairy knight lancelot (fate),妖精骑士兰斯洛特（命运）
gotou (nekocat),gotou (nekocat)
high school dxd born,高中dxd出生
kanpa (campagne 9),kanpa (campagne 9)
makoto (street fighter),诚（街头霸王）
mattari yufi,马塔里尤菲
sado (kancolle),佐渡 (kancolle)
silence (arknights),沉默（方舟）
hiro (hirohiro31),广 (hirohiro31)
kira yoshikage,吉良吉影
leg wrap,裹腿
porurin,孔蛋白
ribbon braid,丝带编织
rounded corners,圆角
2008,2008年
7th dragon,第七龙
akina tsukako,秋名冢子
andira (granblue fantasy),安迪拉（碧蓝幻想）
animal skull,动物头骨
asakaze (kancolle),朝风（kancolle）
avatar (wow),头像（哇）
blank speech bubble,空白语音气泡
diona (genshin impact),迪奥娜（原神冲击）
female protagonist (pokemon go),女主角（pokemon go）
female saniwa (touken ranbu),女 saniwa (刀剑乱舞)
hemogurobin a1c,血红蛋白 a1c
morino hon,森之本
pigeon,鸽子
ryouka (suzuya),凉花（铃屋）
scar on leg,腿上的疤痕
shoulder cannon,肩炮
super mario bros. 1,超级马里奥兄弟1
super soaker,超级浸泡
takamori aiko,高森爱子
toon link,香椿链接
ulrich (tagaragakuin),乌尔里希 (tagaragakuin)
wall clock,挂钟
cowboy bebop,牛仔波普
m1911,m1911
mysterious heroine x (fate),神秘女主角x（命运）
nironiro,尼罗尼罗
sitting on rock,坐在岩石上
snowflake background,雪花背景
tape measure,卷尺
wheat,小麦
aqua footwear,水鞋
arm cuffs,袖口
kaiou michiru,海王道留
minakami (flyingman555),水上 (flyingman555)
pink belt,粉色腰带
scaramouche (genshin impact),Scaramouche（原神冲击）
senran kagura shinovi versus,闪乱神乐shinovi vs
tutu,芭蕾舞短裙
echo (circa),回声（大约）
harukaze (kancolle),春风（kancolle）
jeanne d'arc (third ascension) (fate),jeanne d'arc（第三次提升）（命运）
kankan33333,kankan33333
kazuma muramasa,村正和马
kukie-nyan,念念
onion,洋葱
sagiri (kancolle),纱雾（kancolle）
starbucks,星巴克
stole,偷了
vertical-striped panties,竖条纹内裤
dumpling,饺子
flag background,国旗背景
frozen,冷冻
green tea,绿茶
grey cape,灰色斗篷
inflatable raft,充气筏
jellytits-7,jellytits-7
kotonoha aoi,琴叶葵
no mole,没有痣
the ring,戒指
beltskirt,腰带裙
criis-chan,克里斯陈
hetza (hellshock),hetza（地狱冲击）
nipple clamps,乳头夹
sucrose (genshin impact),蔗糖（原神冲击）
boa hancock,蟒蛇汉考克
izumi mei,泉明
kousaka kirino's school uniform,光坂桐乃的校服
leash pull,皮带拉
pokemon move,宠物小精灵移动
scathach (piercing bunny) (fate),scathach（穿孔兔子）（命运）
usada hikaru,宇田光
alpha (yukai na nakamatachi),阿尔法（yukai na nakamatachi）
astronaut,宇航员
brick floor,砖地板
brown choker,棕色项圈
danganronpa another episode: ultra despair girls,弹丸论破另一集：极度绝望的少女
dishwasher1910,洗碗机1910
hau (pokemon),豪（口袋妖怪）
lightsaber,光剑
maneki-neko,招财猫
parka,派克大衣
arcane: league of legends,奥术：英雄联盟
bib,围兜
card parody,卡片模仿
eden academy uniform,伊甸园学院制服
garry (ib),加里 (ib)
hanasakigawa school uniform,花崎川校服
hatted pokemon,讨厌的口袋妖怪
jizeru (giselebon),吉泽鲁（吉塞勒邦）
multicolored fur,多彩多姿的毛皮
pichu,皮丘
takeda harumi (shiromanta),武田晴海 (Shiromanta)
boy sandwich,男孩三明治
bunching hair,束发
chrono cross,计时十字
coffee-kizoku,咖啡kizoku
grass wonder (umamusume),草奇迹（umamusume）
kappa,卡帕
kobayakawa sae,小早川佐江
moyazou (kitaguni moyashi seizoujo),莫亚祖
multi-strapped panties,多带内裤
mundane utility,平凡的效用
mutsuki (moonknives),mutsuki（月刀）
paper crane,千纸鹤
riichu,日中
sawamura spencer eriri,泽村斯宾塞爱理
splatoon 2: octo expansion,splatoon 2：八度扩展
yui (princess connect!),yui（公主连接！）
yumi (senran kagura),由美（闪乱神乐）
cat costume,猫服装
chinese new year,中国新年
flareon,火炬
hornet (kancolle),大黄蜂 (kancolle)
orange goggles,橙色护目镜
snow bunny,雪兔
warioware,固件
3d background,3d 背景
admiral graf spee (azur lane),斯佩伯爵海军上将（蔚蓝航线）
arinu,有努
ball and chain restraint,球和链约束
stakes of purgatory,炼狱的赌注
street fighter ii (series),街头霸王 ii（系列）
vert (neptune series),vert（海王星系列）
yamanaka ino,山中井野
zanntetu,赞特图
chita (ketchup),番茄酱
evillious nendaiki,邪恶的嫩代
grenade launcher,榴弹发射器
kisaragi (azur lane),如月（碧蓝航线）
murasame kai ni (kancolle),murasame kai ni (kancolle)
sand castle,沙堡
sanzen'in nagi,三千凪
bagged fish,袋装鱼
collared vest,有领背心
hand gesture,手势
holding tail,抱着尾巴
mikazuki akira!,三日月晃！
nib pen (object),笔尖（物体）
purple hoodie,紫色连帽衫
melon,瓜
senjou no valkyria 1,千条的女武神1
hands on shoulders,双手放在肩膀上
honeycomb background,蜂窝背景
kuro kosyou,黑甲阳
litten,点燃
natsu megumi,夏惠
red fur,红色毛皮
shorts around one leg,一条腿的短裤
stats,统计数据
taimanin suit,台马宁套装
takei hisa,武井久
wallet,钱包
watarui,渡井
flaming sword,火焰剑
lightning farron,闪电法伦
multicolored headwear,五彩头饰
persona 5 the royal,角色 5 皇家
print necktie,印花领带
rx-78-2,RX-78-2
tasaka shinnosuke,田坂信之介
white butterfly,白蝴蝶
agnes digital (umamusume),艾格尼丝数码（小）
eureka,尤里卡
grey hairband,灰色发带
guts (berserk),胆量（狂暴）
koyorin,光与林
star guardian (league of legends),星之守护者（英雄联盟）
arm above head,手臂高过头顶
bicycle basket,自行车篮
black undershirt,黑色汗衫
brynhildr (fate),布伦希尔德（命运）
chicken (food),鸡（食物）
dota 2,刀塔 2
edmond dantes (fate),埃德蒙·唐太斯（命运）
elephant,大象
energy drink,能量饮料
excited,兴奋的
finger biting,咬手指
hammock,吊床
handstand,手倒立
hino akane (idolmaster),日野茜（偶像大师）
kerchief,头巾
ominaeshi (takenoko),御奈志（竹之子）
onija tarou,鬼芋头
saru,萨鲁
shigino sohuzi,重野搜狐
sukusuku hakutaku,sukusuku 白拓
tsuchinoko (kemono friends),土之子（kemono朋友）
yunyun (konosuba),yunyun (konosuba)
foliage,叶子
ichigo hitofuri,一护一风
koyama yuzu,小山柚子
multiple heads,多头
pannacotta fugo,意式薄煎饼
uchuu senkan yamato 2199,宇中战舰大和号 2199
cum in nose,精液（射）在鼻子里
dungeon meshi,地牢网
girls und panzer senshadou daisakusen!,Girls und panzer senshadou daisakusen！
herada mitsuru,贺田光
sideways hat,侧边帽
takakura himari,高仓姫里
unasaka ryou,上坂凉
char's counterattack,char的反击
cure peach,治桃
fire emblem warriors: three hopes,火徽勇士：三个希望
yamabuki inori,山吹稻典
bean bag chair,豆袋椅
credits page,学分页面
gradient dress,渐变色连衣裙
hinatsuru ai,小鹤爱
orange leotard,橙色紧身衣
sextuplets,六胞胎
spray can,喷雾罐
takasaki yuu,高崎悠
trigram,卦
twitter sample,推特样本
windmill,风车
dissolving,溶解
dokomon,道可门
guzma (pokemon),古兹马（口袋妖怪）
kohinata miku,小日向未来
luna nova school uniform,露娜新星校服
purple neckerchief,紫色围巾
type-moon,类型月亮
amazuyu tatsuki,天佑辰树
ass-to-ass,是对是
cartridge,墨盒
electric socket,电源插座
kikumon,菊纹
lopunny,笨蛋
amazon (taitaitaira),亚马逊（泰泰泰拉）
beam saber,光束军刀
bullying,欺凌
condom belt,安全套带
gogiga gagagigo,gogiga gagagigo
gotyou,得到你
kapatarou,卡帕塔鲁
kinchaku,金雀
mizumizuni,水水
oshiete! galko-chan,oshiete! galko-chan
yuni (princess connect!),尤尼（公主连接！）
fantasy earth zero,幻想地球零
hairu,毛如
inaba shiki,稻叶式
kamukura izuru,神仓鹤
kiki (majo no takkyuubin),kiki (majo no takkyuubin)
licking armpit,舔腋窝
luoxiaohei,落小黑
tanned cirno,晒黑的西尔诺
amagi (azur lane),天城（碧蓝航线）
amasora taichi,天空太极
avatar: the last airbender,头像：最后的气宗
elizabeth bathory (brave) (fate),伊丽莎白巴托里（勇敢）（命运）
hair flowing over,头发飘过
hololive idol uniform,hololive 偶像制服
in water,在水里
jack-o' valentine,杰克情人节
matoi (pso2),matoi (pso2)
moose (kemono friends),驼鹿（kemono 朋友）
print sarong,印花纱笼
ri-class heavy cruiser,ri级重巡洋舰
saunders school uniform,桑德斯校服
tail hug,尾巴拥抱
umanosuke,马之助
yo-yo,悠悠球
zooey (granblue fantasy),佐伊（碧蓝幻想）
cartoon bone,卡通骨头
fur cloak,毛皮斗篷
harigane shinshi,发声心志
kabuto (helmet),Kabuto（头盔）
konpaku youki,魔芋妖姬
linked piercing,连环穿孔
nonco,非科
swinging,摇摆
z-ring,z形环
family crest,family crest
izayoi aki,居夜秋
kouno hikaru,红野光
leaf umbrella,叶伞
petenshi (dr. vermilion),petenshi（朱红博士）
sneezing,打喷嚏
tall,高
tongs,钳
akame ga kill!,akame ga 杀！
clothes between thighs,大腿间的衣服
clothes tug,衣服拖船
curtained hair,窗帘的头发
dorothea arnault,多萝西娅·阿尔诺
hands on another's hips,双手叉腰
saber alter (ver. shinjuku 1999) (fate),saber alter (ver. shinjuku 1999) (fate)
zora,佐拉
abigail williams (third ascension) (fate),阿比盖尔威廉姆斯（第三次提升）（命运）
eye of horus,荷鲁斯之眼
holding ribbon,拿着丝带
mudkip,泥浆
sakagami tomoyo,坂上知代
